Symbol,Date,Open,High,Low,Close,Percent Change,Volume
AKPL,4/19/2023,395,398,393.1,396.9,0.99,9970
AKPL,4/18/2023,392,397,386.1,393,-0.38,23192
AKPL,4/17/2023,402.7,403,391,394.5,-0.15,21407
AKPL,4/16/2023,407.9,409.3,395.1,395.1,-2.18,31317
AKPL,4/13/2023,413,417,400,403.9,-1.25,49619
AKPL,4/12/2023,397.4,410,395.5,409,4.1,69726
AKPL,4/11/2023,389.9,393.9,382.6,392.9,1.55,20947
AKPL,4/10/2023,381,388.9,376,386.9,1.31,30707
AKPL,4/9/2023,385,390,380,381.9,-2.08,42479
AKPL,4/6/2023,398,398,385.3,390,-0.48,31115
AKPL,4/5/2023,393,395,390.6,391.9,-0.03,21680
AKPL,4/4/2023,395,401,390.1,392,-0.76,25403
AKPL,4/3/2023,398,400,391.9,395,-0.73,25611
AKPL,4/2/2023,405,412.9,395,397.9,-1.75,44517
AKPL,3/30/2023,410,410,403,405,0.25,21936
AKPL,3/29/2023,405,407,403,404,-0.25,16323
AKPL,3/28/2023,412,412,402.1,405,-0.25,39193
AKPL,3/27/2023,398,407,395,406,1.5,46250
AKPL,3/26/2023,404,406,397,400,-0.99,45851
AKPL,3/23/2023,400.2,407,399,404,0.25,57749
AKPL,3/22/2023,415,415,402,403,-2.42,70504
AKPL,3/20/2023,404,415,404,413,1.47,82605
AKPL,3/19/2023,405,408,404,407,0.49,32169
AKPL,3/16/2023,406,409.5,403.1,405,-0.49,40465
AKPL,3/15/2023,405,413,402.1,407,-0.49,46051
AKPL,3/14/2023,411,412,403.1,409,0.52,52507
AKPL,3/13/2023,411,412.5,404.1,406.9,-0.51,32731
AKPL,3/12/2023,419,422,408.4,409,-1.64,82230
AKPL,3/9/2023,402.2,418,399,415.8,5.19,116744
AKPL,3/7/2023,387.1,395.4,387,395.3,1.36,37715
AKPL,3/5/2023,395,397,390,390,-1.02,32573
AKPL,3/2/2023,397,400,393,394,-0.76,46273
AKPL,3/1/2023,404.9,404.9,395,397,-0.5,32350
AKPL,2/28/2023,395,405.8,395,399,0.25,38734
AKPL,2/27/2023,407,407,392.9,398,-1,49443
AKPL,2/26/2023,392,402.5,385,402,0.5,82819
AKPL,2/23/2023,403.1,409,398,400,-2.56,64393
AKPL,2/22/2023,401,411,401,410.5,2.39,42277
AKPL,2/20/2023,401,407,397.5,400.9,-0.52,52413
AKPL,2/16/2023,413,413,402.2,403,-2.42,47463
AKPL,2/15/2023,404,418,401,413,2.99,134419
AKPL,2/15/2023,404,418,401,413,2.99,134419
AKPL,2/14/2023,403,408,397,401,-0.5,57366
AKPL,2/12/2023,414,415,401,403,-4.5,72084
AKPL,2/9/2023,425,425,410,422,0.96,57065
AKPL,2/8/2023,428,428,413,418,-0.95,95101
AKPL,2/7/2023,404,422.5,402.1,422,5.5,115773
AKPL,2/6/2023,400,405,397,400,0,25421
AKPL,2/5/2023,401.5,406,398,400,-0.25,52635
AKPL,2/2/2023,407,408.8,395,401,-1.47,65647
AKPL,2/1/2023,408,410,405,407,-0.25,23898
AKPL,1/31/2023,404.6,413.9,404,408,-0.49,74390
AKPL,1/30/2023,416.1,420,408,410,-2.38,93110
AKPL,1/29/2023,423,428,416.3,420,-1.64,76745
AKPL,1/26/2023,426,428.8,420,427,0.71,110325
AKPL,1/25/2023,418,430,410,424,3.16,98342
AKPL,1/24/2023,411,417,404,411,-0.48,64201
AKPL,1/23/2023,425,426.1,410,413,-1.9,71364
AKPL,1/19/2023,421,429.4,417.5,421,-0.24,60671
AKPL,1/18/2023,426,440,415,422,0.24,196928
AKPL,1/17/2023,399.9,426,399.9,421,3.19,96215
AKPL,1/12/2023,432.4,441,407,408,-3.77,191415
