"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AKPL","2023-08-10","213.9","214","210.1","210.4","-0.75","38412"
"AKPL","2023-08-09","207","213","203.4","212","2.17","51879"
"AKPL","2023-08-08","215","215","207.5","207.5","-3.04","41426"
"AKPL","2023-08-07","213","217","210","214","0.47","39179"
"AKPL","2023-08-06","214","216.9","211.5","213","-0.47","35669"
"AKPL","2023-08-03","217.9","218","213.9","214","0.00","34729"
"AKPL","2023-08-02","218","218","211.7","214","-1.15","56886"
"AKPL","2023-08-01","221","222","216.1","216.5","-0.73","54772"
"AKPL","2023-07-31","222","229.5","217.1","218.1","-0.41","48106"
"AKPL","2023-07-30","227","227","218.7","219","-2.23","57214"
"AKPL","2023-07-27","228.5","230.4","222.1","224","-0.88","78665"
"AKPL","2023-07-26","235.7","235.7","225.5","226","-2.21","69404"
"AKPL","2023-07-25","235","235","229","231.1","-0.52","81721"
"AKPL","2023-07-24","230","242.7","230","232.3","0.13","96438"
"AKPL","2023-07-23","226","235.5","223.2","232","2.61","87759"
"AKPL","2023-07-20","228","231.9","223","226.1","-0.62","93412"
"AKPL","2023-07-19","232","232","225","227.5","-0.66","55995"
"AKPL","2023-07-18","232.1","236.4","227.6","229","-1.25","95017"
"AKPL","2023-07-17","234","236.8","227.1","231.9","-1.11","101395"
"AKPL","2023-07-16","238","242","228","234.5","-1.18","61190"
"AKPL","2023-07-13","252","254","237.2","237.3","-4.31","132959"
"AKPL","2023-07-12","228","249.9","227","248","9.15","142299"
"AKPL","2023-07-11","234","237","227","227.2","-2.07","58105"
"AKPL","2023-07-10","222.1","239.5","220","232","6.54","228856"
"AKPL","2023-07-09","338.6","338.6","328","335.5","1.05","362599"
"AKPL","2023-07-06","343","343","330.9","332","-2.92","124937"
"AKPL","2023-07-05","352.5","354","342","342","-2.81","91205"
"AKPL","2023-07-04","355","359","348","351.9","-0.87","53406"
"AKPL","2023-07-03","359","363","352","355","-0.73","116122"
"AKPL","2023-07-02","359","373","357.2","357.6","1.59","160149"
"AKPL","2023-06-28","362","362","350","352","-1.40","66082"
"AKPL","2023-06-27","360","360","347","357","0.88","82716"
"AKPL","2023-06-26","362.1","362.1","348.1","353.9","-0.31","77910"
"AKPL","2023-06-25","358","359","345","355","-0.84","127584"
"AKPL","2023-06-22","366","366","351","358","-0.75","79313"
"AKPL","2023-06-21","360","374.1","360","360.7","-1.66","43541"
"AKPL","2023-06-20","376","378","363","366.8","-2.68","70505"
"AKPL","2023-06-19","379.9","380","371.5","376.9","0.27","59868"
"AKPL","2023-06-18","372","379","371.2","375.9","1.05","58402"
"AKPL","2023-06-15","369","376","368","372","-0.27","47110"
"AKPL","2023-06-14","376.5","384.9","370","373","-0.53","73388"
"AKPL","2023-06-13","370","379.9","367.5","375","0.51","53715"
"AKPL","2023-06-12","381.8","382.7","371","373.1","-0.56","38137"
"AKPL","2023-06-11","370","378","364","375.2","1.46","41819"
"AKPL","2023-06-08","380.3","380.3","367","369.8","-1.39","30489"
"AKPL","2023-06-07","374.7","382","370.6","375","1.35","70179"
"AKPL","2023-06-06","362","370","361","370","1.65","23295"
"AKPL","2023-06-05","371.9","374","362","364","-0.55","29004"
"AKPL","2023-06-04","359","379","359","366","3.98","26694"
"AKPL","2023-06-01","352","354.9","343.1","352","1.15","22219"
"AKPL","2023-05-31","350","362","347","348","-1.97","29693"
"AKPL","2023-05-30","365","365","353.2","355","-2.18","48166"
"AKPL","2023-05-28","372.3","374.7","360.7","362.9","-2.45","45860"
